S.No,STK1001,STK1002,STK1003,STK1004,STK1005,STK1006,STK1008,STK1009,STK1010,STK1011,STK1012,STK1013,STK1014,STK1015,STK1016,STK1017,STK1018,STK1019,STK1020,STK1021,STK1022,STK1023,STK1024,STK1026,STK1028,STK1029,STK1030,STK1031,STK1032,STK1033,STK1034,STK1035,STK1037,STK1038,STK1039,STK1040,STK1041,STK1042,STK1043,STK1044,STK1045,STK1047,STK1048,STK1050,STK1051,STK1053,STK1055,STK1057,STK1058,STK1060,STK1061,STK1062,STK1063,STK1064,STK1065,STK1066,STK1067,STK1068,STK1069,STK1070,STK1071,STK1072,STK1073,STK1074,STK1075,STK1076,STK1078,STK1079,STK1081,STK1082,STK1083,STK1084,STK1085,STK1087,STK1088,STK1089,STK1091,STK1092,STK1093,STK1094,STK1095,STK1096,STK1097,STK1098,STK1099
1,-0.02150025,-0.01013790,0.02339485,0.00334424,-0.00982545,0.00004451,-0.00193361,0.00145655,0.00706709,-0.00384632,-0.00121163,-0.00862324,-0.00078695,0.00962516,-0.00910420,-0.00590920,-0.01627651,0.00397679,0.01604647,-0.00438824,-0.01294759,-0.01125443,0.02624807,-0.01090767,-0.04187528,0.01013088,0.00210053,0.02156629,0.00039294,-0.00354438,-0.00330982,0.00325016,-0.01357905,-0.01651426,-0.00559284,-0.00476547,0.01331050,0.00274747,0.00679155,-0.04091238,-0.01973490,-0.02058613,0.01107903,-0.02198142,-0.00856355,-0.02423985,-0.00868565,-0.00057949,0.03498628,0.00037306,-0.00897053,0.01275080,0.00276600,-0.01327278,0.01095962,-0.00088110,-0.01061008,0.01760563,-0.00470278,-0.01367982,-0.00881460,-0.01253663,0.00153888,-0.00133001,-0.02424569,0.00000000,-0.00685466,-0.00372502,0.07171124,-0.00605070,-0.01199997,0.00314301,-0.02035887,-0.00860551,0.00167211,0.01671777,-0.01421593,-0.02398115,0.00983044,-0.01730240,0.00110279,-0.01734818,-0.00544299,-0.00079131,-0.00562993
2,0.00319429,-0.01438657,-0.01727203,-0.01186295,0.00046696,-0.00043873,0.01711334,0.00840336,0.01449320,-0.01083761,0.00080873,-0.00859711,-0.00074382,-0.01052135,-0.00025854,0.00153402,0.00998920,0.00551100,0.00504018,0.00877780,0.07504533,0.00490259,0.01103310,0.01732966,0.00712589,0.00981243,-0.02913830,0.01070143,0.01017714,-0.00146032,-0.00541816,-0.00309011,0.07940020,0.01711537,0.00016069,0.00494111,-0.01034057,0.00448274,-0.02745487,0.00502962,0.00120192,0.00788206,0.00265640,-0.00063311,0.01319292,-0.00337764,0.02044409,-0.00542139,-0.01229229,0.01659519,0.02116379,0.00666543,0.01691798,0.00427986,-0.00645286,0.01167603,0.00169794,0.02076125,0.01568702,-0.00032346,-0.01296195,-0.00131904,0.00400606,0.00582654,0.00717835,0.02405063,-0.00768784,-0.00815761,0.00868483,-0.00164528,0.02783389,-0.02106179,0.00845368,0.00132052,-0.01629866,-0.00059583,0.00171214,0.00213038,0.00774721,-0.00980392,-0.00357890,0.00534788,0.00283139,-0.01293599,0.02579265
3,0.00926276,-0.00322303,0.03127423,0.01113489,0.00700117,0.00116411,-0.00095238,0.01875000,0.01984920,0.03823634,0.01252525,0.01346657,0.02640336,0.00391330,0.00258839,0.00153167,0.00011456,-0.00669630,-0.00468056,0.00140708,0.04029512,0.00322416,-0.01190476,-0.00309717,0.00283019,0.04466634,0.03069688,0.00596785,0.01332675,-0.00204642,0.02135138,0.00029997,0.11386928,0.00650355,0.00337404,0.00309215,0.00028196,-0.00644637,0.00548475,-0.00845412,0.05912365,0.01607531,0.00145715,0.03832753,0.04274203,0.01005794,0.03167882,0.02256165,-0.00910344,0.00311812,0.01565996,0.02188707,0.01193490,0.01187209,-0.00428655,0.01012332,-0.00098135,0.00000000,0.03144771,-0.00723607,-0.01393965,0.01865610,0.00601221,0.00434459,0.00767544,0.03749485,0.01153502,-0.00577703,-0.02999347,0.01639750,-0.00913604,0.00511202,0.03038771,-0.00529266,0.00721988,0.01502208,0.02520740,0.02763605,0.03442376,-0.00687007,-0.00524757,-0.01165362,0.00699220,0.00387784,0.00539679
4,0.03250480,0.00507125,-0.00526316,0.01926250,0.02016222,-0.00158846,-0.00571973,-0.01274186,0.00132705,0.03751175,-0.00199521,-0.00463054,0.01126232,0.00198934,-0.00890778,0.00516148,-0.00106911,0.05485209,0.00778175,0.00317989,0.05373720,-0.00287551,-0.00050201,0.00951456,-0.01387582,-0.01618788,0.02596648,0.00554971,0.00125580,0.00206079,-0.00421542,0.00264894,-0.02249029,0.00099408,0.00224179,0.00060640,0.00225907,0.00449169,-0.00673833,0.02331930,-0.00255030,0.00049886,0.00046296,-0.01281269,0.01881510,0.02099794,-0.00060804,0.03449259,0.00383781,0.00164564,0.03349680,0.00341973,-0.01215154,0.05370055,0.00052182,0.01157519,0.00598321,0.04858757,0.02868483,0.01277024,0.03120421,-0.00696921,0.00320549,-0.01240061,0.01142546,0.05480540,0.00762501,-0.00334850,0.02495427,-0.00259424,0.00507952,-0.01950378,-0.01491525,0.00045958,0.00471749,0.00755642,0.07167545,0.00634395,0.01374534,-0.00773143,0.01249665,0.00382587,0.01208082,0.01505293,0.03403684
5,-0.04379624,0.00160062,-0.00529101,0.00922048,0.02680600,0.01074236,0.00399489,0.01338432,0.00206191,-0.00922418,0.01319472,0.00606793,-0.00274204,-0.00160992,0.01224457,0.01027036,0.01054965,0.02161143,0.00050009,0.00873538,0.01708534,-0.00597964,0.00301356,0.00115407,0.00620081,0.00036565,0.00129377,0.02064897,0.00174206,0.01549777,0.02220302,0.00304073,0.07278812,0.00771904,0.01485860,0.00469673,0.00084507,-0.00347782,0.00516879,-0.00135445,-0.00170455,0.00313413,0.00469359,-0.00092707,0.01802792,-0.00275628,0.01775800,0.01231744,0.00451818,0.00255568,-0.01335049,0.03121076,-0.00090449,-0.01727357,0.00013039,0.00671095,0.00390590,0.01185345,0.00315679,0.01834335,-0.01304021,-0.00179533,0.00574052,0.02219256,0.03657881,0.05873494,0.02016824,0.02376487,-0.00759412,-0.00016256,0.00214225,0.00861525,0.00240881,0.01240373,-0.00125006,0.00524602,-0.00752545,-0.00027409,-0.00252903,0.01947919,0.00959910,0.01069098,0.00937083,0.00721748,-0.00212364
6,-0.01268523,-0.00692140,-0.00202634,-0.01663354,-0.01714602,-0.02038748,-0.00493395,-0.00345912,-0.00749479,0.02867830,-0.00157853,0.00713708,0.00934856,0.00166618,0.00990910,0.01863685,0.00832136,0.00287752,-0.00738487,-0.00518852,-0.00279972,0.00268783,-0.01251878,0.03688761,0.00545153,-0.02428072,-0.00759105,-0.00456834,-0.01272951,-0.00841319,-0.00862069,0.00362787,-0.03002535,-0.02409962,-0.00724181,-0.00648436,-0.00534784,0.00224361,0.01944356,-0.02056519,-0.00597610,0.01860399,0.00335570,0.01763068,0.00739661,0.00265760,-0.00410984,-0.00944552,0.00922585,0.00928623,0.00595044,0.05774917,-0.01683867,-0.01249282,0.00449775,0.00035026,-0.00026528,-0.01810437,-0.00699301,-0.01242040,-0.00707208,-0.00490517,0.01335408,0.00155077,-0.02075765,0.01102418,0.00390754,0.00511556,-0.01645110,0.00089424,0.00296014,-0.00804973,-0.01064195,-0.00825510,-0.00984507,0.00637832,-0.02012234,-0.00013708,0.00461759,-0.00221239,-0.00815004,-0.01103595,-0.00198936,-0.00143315,-0.00425633
7,-0.00666941,-0.00082058,0.00456853,-0.00620567,-0.00123804,0.00866407,-0.00191939,0.00820448,-0.00858720,-0.00161616,-0.01343874,-0.00968156,-0.01311764,0.00026831,-0.00726372,-0.00425056,-0.02400780,0.00369015,0.02461274,0.00330563,0.01480309,-0.00719088,-0.00354970,-0.00185288,0.00966525,-0.00952585,-0.01301977,0.01545378,-0.00274784,-0.00095562,-0.00238704,-0.00742758,0.05487437,-0.00918021,-0.00380590,-0.00991661,-0.01556271,-0.00572161,0.02994956,-0.01746515,-0.02290295,-0.00787731,-0.00341006,-0.01215805,-0.01645319,-0.03424512,-0.00675295,-0.00950811,-0.00971309,-0.00378856,0.01231667,0.01397796,-0.00994475,0.01824086,-0.00395847,-0.00534240,-0.00442243,0.00433839,-0.00422535,0.00836824,-0.00017060,-0.01051594,0.00148785,0.00981990,0.00317965,0.00703482,0.00349650,0.01046728,-0.01316258,0.00674139,-0.00338851,0.00347144,-0.01630812,0.01376153,-0.01112995,-0.00149802,-0.00368053,-0.02755690,0.00071215,-0.00362830,-0.01424336,0.00706600,0.03602801,-0.01187309,0.00558062
8,0.01648913,-0.00384498,0.00000000,-0.01384478,0.00270453,0.00352380,-0.00801282,0.00062598,-0.00268819,0.00687981,0.02443910,-0.00120943,0.00980975,0.00447908,-0.00166807,0.00148477,0.00607272,0.00175881,0.00114639,0.00940842,0.01458798,0.00411434,0.01323155,0.00426954,0.01914546,0.01221094,-0.00018551,0.01770891,-0.01116293,0.00724592,0.00487096,0.01536543,0.01886433,0.02061521,-0.00254696,0.00669431,-0.00258696,-0.01000751,-0.01714111,0.01235697,0.01230589,-0.01096121,0.00894913,0.00492308,-0.01166085,-0.00955099,-0.00015109,-0.01212407,0.00334646,-0.01575516,-0.00304170,-0.00064872,-0.00390625,0.00881229,-0.01576650,0.00065861,-0.00719616,-0.00431965,-0.00088402,-0.01022204,0.00021328,0.00365327,-0.00488123,-0.00282452,0.02588484,0.00279427,-0.01065019,0.02238054,-0.00081078,-0.01194030,-0.01338095,0.00467248,-0.02081129,-0.01498081,-0.00436491,-0.00396227,-0.00071794,0.00239673,-0.00245816,-0.00384382,-0.00527819,0.01001123,-0.00573647,0.01861889,0.00484119
9,-0.01010206,0.01277865,0.01440121,-0.00094077,0.00820409,-0.01080096,0.02649435,0.01345011,0.01692088,-0.01796624,-0.01290575,0.01140257,0.00063081,-0.00387172,0.00038570,-0.00833942,0.00152812,-0.03397812,0.00981563,-0.00337286,-0.00867627,-0.00917666,-0.00502260,-0.00720887,0.00962199,0.00555140,0.00919455,-0.00172195,0.05587306,-0.00917578,-0.00765371,0.00560114,-0.00935104,-0.00703554,0.03973827,0.00639594,-0.00576417,-0.00758105,-0.00716288,0.00720872,0.00839363,-0.00291276,0.00110872,-0.00183711,-0.00341824,0.00088672,0.00423105,-0.00575729,0.00540533,-0.00864765,-0.00875151,0.00292113,0.00410831,0.00057310,-0.00655325,-0.00013617,-0.00653244,-0.02928416,0.01504159,-0.01731307,-0.00771921,0.00016545,0.01199677,-0.00133533,0.00823893,-0.01428074,0.00332248,0.00246327,0.00058991,-0.00040826,0.01172805,0.00585815,-0.00864553,-0.00858242,-0.00565228,0.02077855,-0.00480713,-0.00436006,-0.00090808,-0.00507717,-0.00558776,-0.00280628,-0.00507074,0.00051851,-0.00517039
10,-0.00991065,-0.01064578,-0.02067248,0.02589548,-0.01861554,-0.00401836,0.03651243,-0.00601852,-0.00103096,0.01735358,-0.01267829,-0.02374527,0.01206186,0.01739671,0.00462663,0.00018688,0.00408148,0.01108503,-0.01798248,-0.00494905,-0.00875220,0.00258465,-0.01110550,-0.00633029,0.01588382,-0.00631702,-0.00649603,-0.01270994,0.02503726,0.00667877,-0.01199760,0.01465774,0.00925052,-0.01412507,-0.00844206,0.00948254,0.00260871,0.01502441,-0.01191970,-0.02332481,-0.01176808,0.02137513,-0.01081433,0.00858896,0.01598805,0.00365449,-0.00240755,-0.01804983,-0.01086705,0.02802524,-0.00465738,-0.01003236,-0.00799702,-0.00143151,-0.01325959,0.02602429,0.00981805,-0.01229050,-0.00627615,-0.00928361,0.01383934,0.00115798,0.00015809,-0.00826580,-0.00970378,-0.00247350,-0.00675541,0.00250357,-0.00965445,-0.00302238,-0.00598830,-0.00213400,0.01417151,-0.00140425,-0.00294456,-0.01237233,-0.00492223,0.00113010,0.01720116,-0.00551133,0.00337082,0.00245311,-0.01089563,-0.00725644,-0.00637845
