Date,STK1001,STK1002,STK1003,STK1004,STK1005,STK1006,STK1008,STK1009,STK1010,STK1011,STK1012,STK1013,STK1014,STK1015,STK1016,STK1017,STK1018,STK1019,STK1020,STK1021,STK1022,STK1023,STK1024,STK1026,STK1028,STK1029,STK1030,STK1031,STK1032,STK1033,STK1034,STK1035,STK1037,STK1038,STK1039,STK1040,STK1041,STK1042,STK1043,STK1044,STK1045,STK1047,STK1048,STK1050,STK1051,STK1053,STK1055,STK1057,STK1058,STK1060,STK1061,STK1062,STK1063,STK1064,STK1065,STK1066,STK1067,STK1068,STK1069,STK1070,STK1071,STK1072,STK1073,STK1074,STK1075,STK1076,STK1078,STK1079,STK1081,STK1082,STK1083,STK1084,STK1085,STK1087,STK1088,STK1089,STK1091,STK1092,STK1093,STK1094,STK1095,STK1096,STK1097,STK1098,STK1099
01-01-2025,"1,595.70","11,208.30",236.95,"3,418.55",973.80,"1,084.63","1,283.65",444.05,166.32,"2,442.15",448.30,191.09,"2,304.65",889.16,137.04,457.82,"1,184.35","25,504.25","1,905.55","2,284.18","2,476.90","9,864.25",392.35,824.50,805.45,"3,230.50","1,369.00","1,703.85","6,847.87","34,032.55","1,889.95",357.68,938.10,"6,073.00",920.30,"1,079.55",333.65,310.40,300.30,"4,885.30",102.66,"1,400.40","3,082.00",241.22,"3,253.85","2,215.05","3,667.50",693.53,453.57,538.60,"3,561.00",386.40,592.95,"4,712.06","2,406.60","11,447.00","1,071.80",105.33,905.45,"1,576.40","7,369.65",793.20,"1,221.25","4,595.70",741.00,873.60,583.73,"1,882.50",650.85,"1,529.10","1,427.24","5,673.35",123.06,"11,787.20","8,740.55","3,453.40","1,659.60",100.38,136.74,295.30,293.90,"4,794.75","3,989.60",103.60,"1,218.70"
02-01-2025,"1,609.70","11,841.30",246.07,"3,441.55",990.75,"1,100.10","1,290.60",452.50,168.31,"2,543.95",459.35,191.10,"2,343.25",894.65,137.96,462.65,"1,271.50","26,689.90","1,965.59","2,331.30","2,518.44","9,698.95",395.50,835.40,809.05,"3,257.45","1,375.05","1,726.95","6,811.55","34,428.65","1,878.00",367.43,941.70,"6,144.75",929.65,"1,093.45",338.00,315.15,303.80,"5,308.10",105.48,"1,422.25","3,211.10",241.12,"3,388.95","2,256.90","3,713.50",738.92,463.14,549.85,"3,611.10",392.95,599.00,"4,880.69","2,501.45","11,797.70","1,086.60",104.36,912.50,"1,700.65","7,421.65",801.20,"1,241.80","4,537.75",748.00,879.50,612.01,"1,957.85",648.70,"1,537.90","1,458.61","5,753.05",121.41,"11,862.69","9,079.50","3,486.37","1,688.55",101.10,138.18,296.90,296.80,"4,787.80","4,051.00",106.51,"1,226.00"
03-01-2025,"1,598.85","11,934.25",258.89,"3,402.85",975.80,"1,116.35","1,265.05",469.15,171.49,"2,510.00",464.80,191.09,"2,335.95",872.43,138.14,455.60,"1,320.25","26,096.25","1,940.13","2,366.96","2,486.35","9,744.20",396.65,828.05,821.25,"3,216.90","1,352.65","1,689.45","6,721.06","34,253.55","1,849.65",367.73,957.85,"6,048.30",939.45,"1,116.65",339.85,316.05,294.45,"5,310.75",106.40,"1,447.70","3,190.55",241.64,"3,451.65","2,237.25","3,659.90",740.73,478.48,548.70,"4,025.20",393.65,591.15,"4,871.82","2,482.95","11,786.00","1,084.90",104.09,915.05,"1,701.10","7,298.35",793.40,"1,251.15","4,466.20",736.75,872.45,609.67,"1,938.75",652.20,"1,511.25","1,461.45","5,733.40",124.06,"11,553.16","8,965.70","3,440.15","1,682.45",101.45,138.36,296.40,291.95,"4,834.10","3,977.42",106.72,"1,199.55"
06-01-2025,"1,588.45","11,755.65",254.36,"3,362.95",961.45,"1,092.50","1,264.10",446.80,165.52,"2,460.55",446.50,184.67,"2,267.15",853.13,132.88,442.65,"1,294.20","25,908.60","1,946.51","2,337.40","2,398.95","9,479.45",378.65,805.85,768.60,"3,176.20","1,350.35","1,686.30","6,543.31","33,471.10","1,847.40",355.93,939.35,"5,891.65",946.90,"1,141.85",327.50,306.00,294.30,"5,250.10",101.74,"1,434.65","3,105.70",227.96,"3,470.40","2,185.80","3,603.20",734.94,469.92,529.90,"3,934.75",378.75,574.10,"4,665.59","2,413.85","11,503.60","1,063.40",99.66,900.90,"1,684.60","7,429.15",776.40,"1,218.00","4,266.95",714.30,844.25,593.91,"1,937.85",630.70,"1,491.40","1,442.71","5,731.35",114.72,"10,973.91","8,823.85","3,369.11","1,641.15",97.33,132.18,284.85,282.15,"4,791.25","3,972.67",102.87,"1,163.05"
07-01-2025,"1,590.85","11,721.30",263.49,"3,404.10","1,000.85","1,106.33","1,279.25",448.55,167.74,"2,467.25",446.30,186.06,"2,292.60",854.58,134.33,441.10,"1,276.00","26,003.90","1,909.48","2,351.76","2,443.65","9,690.10",378.75,810.80,781.55,"3,164.50","1,351.55","1,671.15","6,628.21","32,959.70","1,853.40",354.41,941.45,"5,907.95",955.00,"1,153.80",328.60,305.05,294.05,"5,177.30",103.11,"1,477.75","3,108.85",232.46,"3,505.10","2,209.15","3,643.30",735.40,480.21,535.75,"3,830.30",379.80,584.50,"4,582.89","2,384.50","11,618.55","1,067.50",101.97,911.80,"1,682.75","7,436.75",778.75,"1,240.85","4,328.60",718.00,852.15,591.68,"1,930.85",618.20,"1,497.45","1,459.09","5,756.95",112.81,"11,048.90","8,810.30","3,373.76","1,626.30",97.87,133.38,282.80,287.00,"4,832.25","3,907.96",102.20,"1,174.00"
08-01-2025,"1,599.20","11,822.00",271.33,"3,324.75",981.45,"1,109.95","1,263.75",443.80,167.05,"2,435.75",434.90,190.58,"2,334.35",845.05,134.60,449.55,"1,275.25","26,027.45","1,925.78","2,361.79","2,438.51","9,621.05",374.05,802.60,770.20,"3,163.90","1,370.75","1,663.75","6,579.58","33,014.75","1,837.75",353.73,942.55,"5,868.40",961.60,"1,156.25",325.40,306.65,297.55,"5,163.20",101.97,"1,463.15","3,086.10",232.95,"3,484.05","2,179.20","3,596.35",735.54,481.24,538.05,"3,843.00",380.35,586.65,"4,466.09","2,361.80","11,403.55","1,074.95",100.99,902.30,"1,697.00","7,142.65",771.15,"1,265.50","4,262.15",694.60,834.90,579.75,"1,933.15",606.95,"1,494.90","1,449.32","5,881.85",111.12,"11,217.60","8,642.25","3,277.22","1,575.80",97.14,132.64,286.80,282.10,"4,859.90","3,985.67",100.93,"1,152.30"
09-01-2025,"1,607.05","11,740.55",263.18,"3,321.55","1,010.50","1,128.03","1,262.40",437.70,164.25,"2,410.40",421.95,183.02,"2,350.20",831.83,132.20,450.10,"1,288.20","25,961.80","1,928.32","2,395.63","2,402.30","9,635.60",367.15,780.65,751.50,"3,108.50","1,371.60","1,642.80","6,407.06","32,829.65","1,826.35",358.04,931.55,"5,824.55",970.10,"1,181.10",320.35,305.25,292.30,"5,139.90",102.03,"1,468.45","3,126.50",231.04,"3,487.05","2,135.10","3,527.90",727.75,472.25,525.25,"3,813.80",372.20,589.25,"4,414.49","2,326.45","11,259.80","1,061.75",99.58,890.95,"1,690.30","7,091.55",760.45,"1,254.75","4,260.55",678.15,822.85,561.97,"1,917.30",605.45,"1,488.20","1,474.36","5,840.70",108.06,"11,116.18","8,835.85","3,247.89","1,574.45",95.74,129.93,280.00,281.25,"4,926.30","3,918.19",99.15,"1,132.35"
10-01-2025,"1,615.90","11,631.10",263.02,"3,274.45","1,004.40","1,123.95","1,249.85",433.35,161.72,"2,364.10",404.20,179.58,"2,320.75",826.32,130.28,444.90,"1,255.05","25,738.30","1,988.42","2,402.17","2,301.96","9,529.95",356.35,752.15,729.25,"2,999.45","1,354.40","1,705.60","6,341.04","31,713.85","1,784.80",351.24,917.70,"5,771.35",972.80,"1,174.30",308.25,299.70,300.55,"5,058.45",98.64,"1,478.30","3,092.85",225.40,"3,440.25","2,136.55","3,536.15",728.81,468.95,511.25,"3,686.25",368.50,574.45,"4,389.42","2,283.25","10,865.20","1,040.70",96.46,900.10,"1,701.25","7,036.75",743.25,"1,241.90","4,228.80",650.20,805.90,532.00,"1,966.95",596.55,"1,468.80","1,446.00","6,124.40",103.62,"10,776.74","8,764.00","3,177.37","1,539.15",92.83,127.43,277.65,271.00,"4,939.20","4,138.22",96.59,"1,112.20"
13-01-2025,"1,597.20","11,497.70",255.73,"3,235.35",975.10,"1,118.68","1,229.75",419.40,154.81,"2,288.15",389.30,172.15,"2,252.65",813.40,121.99,439.05,"1,222.55","24,874.50","1,982.74","2,410.98","2,157.26","8,922.40",339.95,710.80,688.75,"2,873.35","1,335.10","1,659.65","6,038.20","30,979.75","1,746.90",347.68,876.70,"5,732.50",965.45,"1,159.00",298.20,287.60,291.85,"4,939.10",95.42,"1,467.40","2,999.65",217.69,"3,382.75","2,096.50","3,464.30",715.10,454.63,493.20,"3,507.45",362.90,563.75,"4,149.62","2,176.60","10,615.15","1,049.30",89.98,883.75,"1,674.15","6,839.60",729.50,"1,239.85","4,001.40",615.10,756.10,521.10,"1,962.20",574.75,"1,439.20","1,393.85","6,030.75",101.25,"10,266.11","8,596.25","3,020.44","1,483.55",88.52,122.93,265.30,259.60,"4,927.05","4,162.91",93.17,"1,066.65"
14-01-2025,"1,600.10","11,741.15",260.37,"3,252.40","1,000.15","1,109.53","1,240.30",436.05,161.14,"2,310.60",417.40,175.96,"2,239.95",821.26,126.63,436.60,"1,270.70","25,130.20","1,807.47","2,329.28","2,307.92","9,203.30",356.95,723.25,771.30,"2,940.95","1,337.55","1,647.50","6,075.12","31,621.70","1,770.85",350.12,909.90,"5,990.30",963.15,"1,140.45",310.40,290.25,292.85,"5,029.55",98.41,"1,499.25","3,049.50",223.72,"3,322.50","2,123.85","3,462.60",733.50,466.44,515.35,"3,476.50",369.25,590.90,"4,107.45","2,235.00","10,483.75","1,051.65",107.40,906.05,"1,713.50","6,706.85",748.15,"1,238.75","3,995.00",640.15,781.40,544.10,"1,940.05",566.30,"1,447.75","1,399.95","5,751.90",104.08,"10,570.47","8,611.20","3,051.75","1,407.25",93.22,126.93,270.20,269.90,"4,862.40","4,106.59",97.05,"1,117.10"
